ym,tmean,tmax,tmin,rh,precip,n_tmean,n_rh,n_precip,days_expected,days_missing,longest_gap,n_calibrated,wmo_valid,dtr,year,month
2009-09-01,11.479990664198487,17.724137931034484,2.253333333333333,46.45384615384615,16.4,29,26,30,30,1,1,3,True,15.47080459770115,2009,9
2009-10-01,12.76399097539187,18.48,3.806451612903226,51.75185185185185,56.4,30,27,31,31,1,1,3,True,14.673548387096774,2009,10
2009-11-01,12.937579732244254,18.07586206896552,6.286666666666666,,88.89999999999999,29,17,27,30,1,1,12,True,11.789195402298855,2009,11
2009-12-01,13.084609315605503,17.90666666666667,6.129032258064516,,62.5,30,22,30,31,1,1,8,True,11.777634408602154,2009,12
2010-01-01,12.415534624901863,16.929032258064513,6.851612903225806,,99.3,31,24,28,31,0,0,7,True,10.077419354838707,2010,1
2010-02-01,12.306283265475791,17.12857142857143,6.623076923076923,,192.8,26,16,28,28,2,1,10,True,10.505494505494507,2010,2
2010-03-01,12.720442751578913,17.154838709677417,6.800000000000001,64.25384615384615,56.300000000000004,31,26,26,31,0,0,5,True,10.354838709677416,2010,3
2010-04-01,12.17669869656307,17.4,4.7,59.13928571428572,12.3,30,28,25,30,0,0,2,True,12.7,2010,4
2010-05-01,10.707545197037755,16.18,1.6258064516129032,56.282758620689656,16.1,30,29,30,31,1,1,1,True,14.554193548387097,2010,5
2010-06-01,9.93,16.273333333333333,1.38,52.35333333333333,0.0,30,30,30,30,0,0,0,True,14.893333333333334,2010,6
2010-07-01,8.716129032258063,16.948387096774194,-1.1935483870967742,45.306451612903224,0.0,31,31,30,31,0,0,0,True,18.14193548387097,2010,7
2010-08-01,9.901367952682484,17.40666666666667,0.8,46.521428571428565,7.1,30,28,31,31,1,1,2,True,16.60666666666667,2010,8
2010-09-01,11.623333333333333,18.6,2.066666666666667,49.406666666666666,2.9,30,30,30,30,0,0,0,True,16.533333333333335,2010,9
2010-10-01,12.312951053526499,18.74074074074074,3.883870967741936,,33.4,27,22,26,31,4,1,5,True,14.856869772998804,2010,10
2010-11-01,13.40049985847108,19.521428571428572,3.9733333333333336,45.76923076923077,15.0,28,26,30,30,2,1,2,True,15.54809523809524,2010,11
2010-12-01,12.13864764069753,17.433333333333334,5.913333333333333,,146.7,29,23,29,31,2,1,6,True,11.52,2010,12
2011-01-01,12.152092435887166,17.083870967741937,6.058064516129033,68.925,122.7,31,28,28,31,0,0,3,True,11.025806451612905,2011,1
2011-02-01,10.669100461882618,15.049999999999999,6.3428571428571425,78.91923076923078,202.9,28,26,26,28,0,0,2,True,8.707142857142856,2011,2
2011-03-01,10.773333333333333,14.913333333333332,6.051612903225807,78.31,116.5,30,30,28,31,1,1,0,True,8.861720430107525,2011,3
2011-04-01,11.158620689655173,15.50344827586207,4.1866666666666665,68.52413793103449,46.8,29,29,29,30,1,1,0,True,11.316781609195402,2011,4
2011-05-01,10.00799215004617,15.174193548387096,1.4709677419354839,61.72666666666667,4.800000000000001,31,30,31,31,0,0,1,True,13.703225806451613,2011,5
2011-06-01,8.536666666666667,15.18,-0.2933333333333333,55.75,0.0,30,30,30,30,0,0,0,True,15.473333333333333,2011,6
2011-07-01,8.154838709677419,14.64516129032258,-0.04516129032258065,55.58387096774193,6.3999999999999995,31,31,29,31,0,0,0,True,14.69032258064516,2011,7
2011-08-01,10.19,16.453333333333333,1.1612903225806452,53.49,0.2,30,30,30,31,1,1,0,True,15.292043010752687,2011,8
2011-09-01,10.619895840045665,16.226666666666667,2.7933333333333334,57.353571428571435,45.800000000000004,30,28,28,30,0,0,2,True,13.433333333333334,2011,9
2011-10-01,12.053724690462404,17.826666666666664,3.425806451612903,51.288000000000004,25.7,30,25,30,31,1,1,5,True,14.400860215053761,2011,10
2011-11-01,13.398166479700892,18.862068965517242,4.86,,48.5,29,19,30,30,1,1,10,True,14.002068965517243,2011,11
2011-12-01,11.834232775949692,16.32,5.567741935483871,,151.3,30,20,29,31,1,1,10,True,10.75225806451613,2011,12
2012-01-01,11.425375976763442,15.76774193548387,5.541935483870968,68.48571428571428,135.4,31,28,29,31,0,0,3,True,10.225806451612904,2012,1
2012-02-01,10.24408880380009,14.613793103448277,5.475862068965518,76.656,294.8,29,25,27,29,0,0,4,True,9.137931034482758,2012,2
2012-03-01,10.736089302092388,15.025806451612903,5.193548387096774,71.24333333333334,209.9,31,30,29,31,0,0,1,True,9.832258064516129,2012,3
2012-04-01,10.698453789150262,15.093333333333334,4.742857142857143,68.78148148148148,60.1,28,27,28,30,2,1,1,True,10.35047619047619,2012,4
2012-05-01,8.961290322580645,15.141935483870967,1.0838709677419356,56.13225806451613,0.0,31,31,31,31,0,0,0,True,14.058064516129031,2012,5
2012-06-01,8.163333333333334,14.9,-0.14,51.07333333333334,0.2,30,30,30,30,0,0,0,True,15.040000000000001,2012,6
2012-07-01,8.106451612903227,15.219354838709679,-0.45806451612903226,50.193548387096776,0.0,31,31,29,31,0,0,0,True,15.677419354838712,2012,7
2012-08-01,9.213333333333333,15.866666666666667,-0.032258064516129024,47.99,5.6,30,30,30,31,1,1,0,True,15.898924731182797,2012,8
2012-09-01,10.993857559103283,15.741379310344827,2.8466666666666662,52.62692307692308,9.8,29,26,29,30,1,1,3,True,12.894712643678162,2012,9
2012-10-01,12.788395500862672,17.490322580645163,5.051612903225807,54.06206896551724,7.6000000000000005,31,29,28,31,0,0,2,True,12.438709677419357,2012,10
2012-11-01,,,,60.349999999999994,69.5,0,26,28,30,30,30,0,False,,2012,11
2012-12-01,11.304475740060056,14.896774193548387,6.529032258064516,,155.9,31,20,28,31,0,0,11,True,8.36774193548387,2012,12
2013-01-01,11.089831519465365,16.216129032258063,5.572413793103448,,153.0,29,22,29,31,2,1,7,True,10.643715239154616,2013,1
2013-02-01,10.945920921584099,14.957142857142857,6.7821428571428575,80.75,175.8,28,26,28,28,0,0,2,True,8.175,2013,2
2013-03-01,11.380671008779046,15.903225806451612,5.680000000000001,72.40344827586206,100.0,30,29,31,31,1,1,1,True,10.223225806451612,2013,3
2013-04-01,10.576354985120288,15.606666666666666,3.1,59.582142857142856,14.3,30,28,30,30,0,0,2,True,12.506666666666666,2013,4
2013-05-01,9.780559955736074,15.326666666666666,3.032258064516129,61.776,22.4,30,25,29,31,1,1,5,True,12.294408602150536,2013,5
2013-06-01,7.803571428571429,14.213793103448275,0.9103448275862068,58.74285714285714,12.5,28,28,29,30,2,1,0,True,13.303448275862069,2013,6
2013-07-01,7.944827586206896,13.826666666666666,1.1533333333333333,59.48275862068966,1.5,29,29,29,31,2,1,0,True,12.673333333333332,2013,7
2013-08-01,8.437626890152101,14.625806451612902,0.9032258064516129,55.54,4.5,31,30,29,31,0,0,1,True,13.72258064516129,2013,8
2013-09-01,10.300239551488447,16.806666666666665,2.36,51.103571428571435,11.6,30,28,30,30,0,0,2,True,14.446666666666665,2013,9
2013-10-01,11.648258249227679,16.93548387096774,4.470967741935484,61.013333333333335,32.9,31,30,30,31,0,0,1,True,12.464516129032257,2013,10
2013-11-01,12.323847513592632,17.346666666666668,5.433333333333334,,61.400000000000006,30,23,30,30,0,0,7,True,11.913333333333334,2013,11
2013-12-01,11.36760310148461,15.980645161290322,6.387096774193548,68.95925925925927,117.1,31,27,28,31,0,0,4,True,9.593548387096774,2013,12
2014-01-01,11.051848043873333,15.426666666666668,6.36,70.62142857142858,145.0,29,28,30,31,2,1,1,True,9.066666666666666,2014,1
2014-02-01,11.533797878411212,15.9,6.34074074074074,72.23461538461538,107.7,27,26,26,28,1,1,1,True,9.55925925925926,2014,2
2014-03-01,11.2,16.335483870967742,5.800000000000001,75.36451612903227,60.5,31,31,31,31,0,0,0,True,10.535483870967742,2014,3
2014-04-01,10.721890203206913,15.873333333333333,5.033333333333333,69.87241379310345,40.9,30,29,29,30,0,0,1,True,10.84,2014,4
2014-05-01,9.778303951664622,16.16774193548387,2.18,57.741379310344826,0.1,30,29,31,31,1,1,1,True,13.987741935483871,2014,5
2014-06-01,9.568051033455667,16.62,1.4066666666666667,54.61379310344827,0.0,30,29,30,30,0,0,1,True,15.213333333333335,2014,6
2014-07-01,8.864516129032259,15.35483870967742,0.7483870967741936,53.193548387096776,0.2,31,31,30,31,0,0,0,True,14.606451612903227,2014,7
2014-08-01,9.171889912417805,14.96774193548387,1.864516129032258,59.61034482758621,28.9,31,29,28,31,0,0,2,True,13.103225806451611,2014,8
2014-09-01,9.848751024745109,15.013333333333332,3.7866666666666666,66.47407407407407,66.9,30,27,24,30,0,0,3,True,11.226666666666665,2014,9
2014-10-01,11.013471772253448,16.006666666666668,4.967741935483871,64.22,45.2,30,25,30,31,1,1,5,True,11.038924731182796,2014,10
2014-11-01,12.398335981561024,17.540000000000003,5.48,60.53703703703704,29.8,30,27,28,30,0,0,3,True,12.060000000000002,2014,11
