ym,tmean,rh,precip,n_rh,n_precip,wmo_valid,days_expected,n_reconstructed,days_missing,year,month,frac_reconstructed
2010-11-01,13.367857142857144,45.76923076923077,15.0,26,30,True,30,2,2,2010,11,0.06666666666666667
2010-12-01,12.010344827586207,,146.7,23,29,True,31,6,2,2010,12,0.1935483870967742
2011-01-01,12.093548387096773,68.925,122.7,28,28,True,31,3,0,2011,1,0.0967741935483871
2011-02-01,10.610714285714286,78.91923076923078,202.9,26,26,True,28,2,0,2011,2,0.07142857142857142
2011-03-01,10.773333333333333,78.31,116.5,30,28,True,31,0,1,2011,3,0.0
2011-04-01,11.158620689655173,68.52413793103449,46.8,29,29,True,30,0,1,2011,4,0.0
2011-05-01,9.980645161290322,61.72666666666667,4.800000000000001,30,31,True,31,1,0,2011,5,0.03225806451612903
2011-06-01,8.536666666666667,55.75,0.0,30,30,True,30,0,0,2011,6,0.0
2011-07-01,8.154838709677419,55.58387096774193,6.3999999999999995,31,29,True,31,0,0,2011,7,0.0
2011-08-01,10.19,53.49,0.2,30,30,True,31,0,1,2011,8,0.0
2011-09-01,10.566666666666666,57.353571428571435,45.800000000000004,28,28,True,30,2,0,2011,9,0.06666666666666667
2011-10-01,11.94,51.288000000000004,25.7,25,30,True,31,5,1,2011,10,0.16129032258064516
2011-11-01,13.182758620689656,,48.5,19,30,True,30,10,1,2011,11,0.3333333333333333
2011-12-01,11.596666666666666,,151.3,20,29,True,31,10,1,2011,12,0.3225806451612903
2012-01-01,11.35483870967742,68.48571428571428,135.4,28,29,True,31,3,0,2012,1,0.0967741935483871
2012-02-01,10.134482758620688,76.656,294.8,25,27,True,29,4,0,2012,2,0.13793103448275862
2012-03-01,10.712903225806452,71.24333333333334,209.9,30,29,True,31,1,0,2012,3,0.03225806451612903
2012-04-01,10.671428571428573,68.78148148148148,60.1,27,28,True,30,1,2,2012,4,0.03333333333333333
2012-05-01,8.961290322580645,56.13225806451613,0.0,31,31,True,31,0,0,2012,5,0.0
2012-06-01,8.163333333333334,51.07333333333334,0.2,30,30,True,30,0,0,2012,6,0.0
2012-07-01,8.106451612903227,50.193548387096776,0.0,31,29,True,31,0,0,2012,7,0.0
2012-08-01,9.213333333333333,47.99,5.6,30,30,True,31,0,1,2012,8,0.0
2012-09-01,10.910344827586206,52.62692307692308,9.8,26,29,True,30,3,1,2012,9,0.1
2012-10-01,12.748387096774193,54.06206896551724,7.6000000000000005,29,28,True,31,2,0,2012,10,0.06451612903225806
2012-11-01,,,,26,28,False,30,0,30,2012,11,0.0
