model,n_train,start,seed,mae
Random Forest,90,37,3,0.49657822921200817
Random Forest,90,37,4,0.48829550348634
Multilayer Perceptron,90,37,0,0.6728236188553003
Multilayer Perceptron,90,37,1,0.6731722726374333
Multilayer Perceptron,90,37,2,1.1359078372096527
Multilayer Perceptron,90,37,3,0.5588216413449001
Multilayer Perceptron,90,37,4,0.9535494483182543
Multiple Linear Regression,90,47,42,0.42248606418159584
Random Forest,90,47,0,0.49330416134203164
Random Forest,90,47,1,0.4739299930253687
Random Forest,90,47,2,0.4830803122129186
Random Forest,90,47,3,0.48042366947624615
Random Forest,90,47,4,0.4801698198541602
Multilayer Perceptron,90,47,0,0.6457444072960983
Multilayer Perceptron,90,47,1,0.5038259091586406
Multilayer Perceptron,90,47,2,0.4987167121723003
Multilayer Perceptron,90,47,3,0.5645001311595237
Multilayer Perceptron,90,47,4,0.6085119391567797
Multiple Linear Regression,100,0,42,0.5381888267968947
Random Forest,100,0,0,0.5202008194802634
Random Forest,100,0,1,0.514788175630143
Random Forest,100,0,2,0.5223304976139878
Random Forest,100,0,3,0.5163918811944023
Random Forest,100,0,4,0.5148797431556
Multilayer Perceptron,100,0,0,0.9272866032936
Multilayer Perceptron,100,0,1,1.3565741576247698
Multilayer Perceptron,100,0,2,1.2158150639172436
Multilayer Perceptron,100,0,3,1.1229056227043195
Multilayer Perceptron,100,0,4,0.955164960642261
Multiple Linear Regression,100,7,42,0.4487277364617323
Random Forest,100,7,0,0.5012072516491903
Random Forest,100,7,1,0.5253115353992035
Random Forest,100,7,2,0.5035849423013076
Random Forest,100,7,3,0.5054426366912239
Random Forest,100,7,4,0.503575268241172
Multilayer Perceptron,100,7,0,0.895308849099201
Multilayer Perceptron,100,7,1,0.7484746161970787
Multilayer Perceptron,100,7,2,1.0356274198412307
Multilayer Perceptron,100,7,3,0.5406061504166954
Multilayer Perceptron,100,7,4,0.6304491087284722
Multiple Linear Regression,100,14,42,0.4248739833677878
Random Forest,100,14,0,0.4942622985398222
Random Forest,100,14,1,0.4966077504903902
Random Forest,100,14,2,0.4934854663048517
Random Forest,100,14,3,0.5004080022822214
Random Forest,100,14,4,0.49056247515838697
Multilayer Perceptron,100,14,0,0.9880430864024872
Multilayer Perceptron,100,14,1,0.7731044127498994
Multilayer Perceptron,100,14,2,0.6474999035353809
Multilayer Perceptron,100,14,3,0.7633173541601603
Multilayer Perceptron,100,14,4,0.7827474599522706
Multiple Linear Regression,100,22,42,0.414824796878648
Random Forest,100,22,0,0.4897541325579113
Random Forest,100,22,1,0.49827069437055893
Random Forest,100,22,2,0.49163353603091875
Random Forest,100,22,3,0.4846939370037013
Random Forest,100,22,4,0.48075167974331334
Multilayer Perceptron,100,22,0,0.8144165937894599
Multilayer Perceptron,100,22,1,0.8307252432177852
Multilayer Perceptron,100,22,2,0.7546484670399177
Multilayer Perceptron,100,22,3,0.6054636462957604
Multilayer Perceptron,100,22,4,0.6005075628997621
Multiple Linear Regression,100,29,42,0.4323493626313571
Random Forest,100,29,0,0.48187979785607665
Random Forest,100,29,1,0.47917794837753347
Random Forest,100,29,2,0.4798990350015201
Random Forest,100,29,3,0.47857485849022374
Random Forest,100,29,4,0.481088772532398
Multilayer Perceptron,100,29,0,0.4695502091200182
Multilayer Perceptron,100,29,1,0.49009500910448733
Multilayer Perceptron,100,29,2,0.7266255001890256
Multilayer Perceptron,100,29,3,0.4984510582152413
Multilayer Perceptron,100,29,4,0.5857846990376041
Multiple Linear Regression,100,37,42,0.4084089785023472
Random Forest,100,37,0,0.4852943305282501
Random Forest,100,37,1,0.4869871970895993
Random Forest,100,37,2,0.4791709916750088
Random Forest,100,37,3,0.49254615703266624
Random Forest,100,37,4,0.49351244832266306
Multilayer Perceptron,100,37,0,0.6778228572433037
Multilayer Perceptron,100,37,1,0.5671469724404081
Multilayer Perceptron,100,37,2,0.6743256291069717
Multilayer Perceptron,100,37,3,0.6177842956349636
Multilayer Perceptron,100,37,4,0.6072171447487607
Multiple Linear Regression,110,0,42,0.4868896764587255
Random Forest,110,0,0,0.5002031395444296
Random Forest,110,0,1,0.4964269369186115
Random Forest,110,0,2,0.4901468938424167
Random Forest,110,0,3,0.49213325926551
Random Forest,110,0,4,0.4857987319078335
Multilayer Perceptron,110,0,0,0.7685269742104761
Multilayer Perceptron,110,0,1,1.154482918918446
Multilayer Perceptron,110,0,2,0.9995857561857899
Multilayer Perceptron,110,0,3,0.6523842614635703
Multilayer Perceptron,110,0,4,0.8200801158347525
Multiple Linear Regression,110,5,42,0.42420584061081257
Random Forest,110,5,0,0.480388774544131
Random Forest,110,5,1,0.4939863110943286
Random Forest,110,5,2,0.48707976829503985
Random Forest,110,5,3,0.4896017298576903
Random Forest,110,5,4,0.4870831114854123
Multilayer Perceptron,110,5,0,0.6332250197083343
Multilayer Perceptron,110,5,1,0.795597576085962
Multilayer Perceptron,110,5,2,0.7363839852118483
Multilayer Perceptron,110,5,3,0.6583105535122111
Multilayer Perceptron,110,5,4,0.8853786768049803
Multiple Linear Regression,110,10,42,0.4285734175780187
Random Forest,110,10,0,0.4687620629495399
Random Forest,110,10,1,0.4910419415131022
Random Forest,110,10,2,0.47423411410016836
Random Forest,110,10,3,0.4828155980428371
Random Forest,110,10,4,0.4710359342844792
Multilayer Perceptron,110,10,0,0.6785934859439241
Multilayer Perceptron,110,10,1,0.7466332566178185
Multilayer Perceptron,110,10,2,0.9327623699809342
Multilayer Perceptron,110,10,3,0.6045515233308092
